2024-04-08 18:22:55,247 INFO    MainThread:229718 [wandb_setup.py:_flush():76] Configure stats pid to 229718
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_setup.py:_flush():76] Loading settings from /home/workdir/wandb/settings
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_init.py:_log_setup():506] Logging user logs to wandb/wandb/offline-run-20240408_182255-q12ormal/logs/debug.log
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_init.py:_log_setup():507] Logging internal logs to wandb/wandb/offline-run-20240408_182255-q12ormal/logs/debug-internal.log
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_init.py:init():546] calling init triggers
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2024-04-08 18:22:55,248 INFO    MainThread:229718 [wandb_init.py:init():602] starting backend
2024-04-08 18:22:55,249 INFO    MainThread:229718 [wandb_init.py:init():606] setting up manager
2024-04-08 18:22:55,251 INFO    MainThread:229718 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-08 18:22:55,254 INFO    MainThread:229718 [wandb_init.py:init():613] backend started and connected
2024-04-08 18:22:55,256 INFO    MainThread:229718 [wandb_init.py:init():701] updated telemetry
2024-04-08 18:22:55,271 INFO    MainThread:229718 [wandb_init.py:init():789] starting run threads in backend
2024-04-08 18:22:55,401 INFO    MainThread:229718 [wandb_run.py:_console_start():2112] atexit reg
2024-04-08 18:22:55,402 INFO    MainThread:229718 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2024-04-08 18:22:55,402 INFO    MainThread:229718 [wandb_run.py:_redirect():2032] Wrapping output streams.
2024-04-08 18:22:55,402 INFO    MainThread:229718 [wandb_run.py:_redirect():2057] Redirects installed.
2024-04-08 18:22:55,402 INFO    MainThread:229718 [wandb_init.py:init():831] run started, returning control to user process
2024-04-08 18:23:01,420 WARNING MsgRouterThr:229718 [router.py:message_loop():77] message_loop has been closed
