2024-04-08 18:40:24,233 INFO    MainThread:266601 [wandb_setup.py:_flush():76] Configure stats pid to 266601
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_setup.py:_flush():76] Loading settings from /home/workdir/wandb/settings
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': 'train.py'}
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_init.py:_log_setup():506] Logging user logs to wandb/wandb/offline-run-20240408_184024-9cr79owc/logs/debug.log
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_init.py:_log_setup():507] Logging internal logs to wandb/wandb/offline-run-20240408_184024-9cr79owc/logs/debug-internal.log
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_init.py:init():546] calling init triggers
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_init.py:init():602] starting backend
2024-04-08 18:40:24,234 INFO    MainThread:266601 [wandb_init.py:init():606] setting up manager
2024-04-08 18:40:24,237 INFO    MainThread:266601 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-08 18:40:24,239 INFO    MainThread:266601 [wandb_init.py:init():613] backend started and connected
2024-04-08 18:40:24,241 INFO    MainThread:266601 [wandb_init.py:init():701] updated telemetry
2024-04-08 18:40:24,254 INFO    MainThread:266601 [wandb_init.py:init():789] starting run threads in backend
2024-04-08 18:40:24,333 INFO    MainThread:266601 [wandb_run.py:_console_start():2112] atexit reg
2024-04-08 18:40:24,334 INFO    MainThread:266601 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2024-04-08 18:40:24,334 INFO    MainThread:266601 [wandb_run.py:_redirect():2032] Wrapping output streams.
2024-04-08 18:40:24,334 INFO    MainThread:266601 [wandb_run.py:_redirect():2057] Redirects installed.
2024-04-08 18:40:24,334 INFO    MainThread:266601 [wandb_init.py:init():831] run started, returning control to user process
2024-04-08 18:40:30,562 WARNING MsgRouterThr:266601 [router.py:message_loop():77] message_loop has been closed
